[2022-07-03 18:16:21,201] [INFO] "GET /admin/Api_app/db_power_list/1/change/ HTTP/1.1" 200 8489
[2022-07-03 18:16:21,214] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 8398
[2022-07-03 18:16:50,946] [INFO] "POST /admin/Api_app/db_power_list/1/change/ HTTP/1.1" 302 0
[2022-07-03 18:16:50,996] [INFO] "GET /admin/Api_app/db_power_list/ HTTP/1.1" 200 8020
[2022-07-03 18:16:51,023] [INFO] "GET /admin/jsi18n/ HTTP/1.1" 200 8398
[2022-07-03 18:19:57,575] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-03 18:19:58,008] [INFO] Watching for file changes with StatReloader
[2022-07-03 18:23:23,455] [INFO] /Users/wangzijia/Api_project/Api_project/urls.py changed, reloading.
[2022-07-03 18:23:23,916] [INFO] Watching for file changes with StatReloader
[2022-07-03 18:23:33,371] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:23:33,373] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 641
[2022-07-03 18:25:13,370] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:25:51,150] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:25:51,152] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 641
[2022-07-03 18:25:55,594] [INFO] "GET /get_api_shop_list/ HTTP/1.1" 200 318
[2022-07-03 18:26:56,238] [INFO] "GET /get_api_shop_list/ HTTP/1.1" 200 318
[2022-07-03 18:27:31,155] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:29:11,151] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:30:51,155] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:32:31,154] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:34:11,156] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:35:51,158] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:37:31,159] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:39:11,201] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:40:51,208] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-03 18:41:30,720] [INFO] "GET /get_api_shop_list/ HTTP/1.1" 200 318
[2022-07-03 18:41:39,621] [INFO] "GET /get_power_list/ HTTP/1.1" 200 110
[2022-07-03 18:42:31,725] [INFO] "GET /get_power_list/ HTTP/1.1" 200 110
[2022-07-03 18:42:33,620] [INFO] "GET /get_power_list/ HTTP/1.1" 200 110
[2022-07-03 18:42:47,721] [INFO] "GET /add_power/ HTTP/1.1" 200 158
[2022-07-03 18:43:18,058] [INFO] "GET /get_power_list/ HTTP/1.1" 200 158
[2022-07-03 18:43:19,067] [INFO] "GET /get_power_list/ HTTP/1.1" 200 158
[2022-07-03 18:43:27,533] [INFO] "GET /add_power/ HTTP/1.1" 200 206
[2022-07-03 18:43:28,011] [INFO] "GET /add_power/ HTTP/1.1" 200 254
[2022-07-03 18:43:28,178] [INFO] "GET /add_power/ HTTP/1.1" 200 302
[2022-07-03 18:43:28,396] [INFO] "GET /add_power/ HTTP/1.1" 200 350
[2022-07-03 18:43:31,215] [INFO] "GET /get_power_list/ HTTP/1.1" 200 350
[2022-07-03 18:44:03,716] [INFO] "GET /get_power_list/ HTTP/1.1" 200 350
[2022-07-03 18:44:05,115] [INFO] "GET /get_power_list/ HTTP/1.1" 200 350
[2022-07-03 18:44:10,282] [INFO] "GET /add_power/ HTTP/1.1" 200 398
[2022-07-03 18:44:10,777] [INFO] "GET /add_power/ HTTP/1.1" 200 446
[2022-07-03 18:44:11,025] [INFO] "GET /add_power/ HTTP/1.1" 200 494
